Club,Rating
Montpellier HSC,85.72
OGC Nice,81.71
RCD Espanyol,80.61
Real Betis,79.73
Olympique Lyonnais,79.32
RC Celta,72.4
Manchester City,71.98
LOSC Lille,71.8
Atalanta,71.15
Tottenham Hotspur,70.28
Juventus,69.8
Real Madrid,69.59
Stade Rennais FC,69.34
Chelsea,68.59
Torino,67.83
TSG 1899 Hoffenheim,67.77
Borussia Dortmund,67.76
AS Monaco,67.72
Bologna,67.39
Real Sociedad,67.38
SD Eibar,66.69
Bournemouth,66.57
Villarreal CF,65.72
Fiorentina,65.48
Arsenal,65.46
FC Barcelona,65.32
Valencia CF,65.04
Hertha BSC,64.25
1. FSV Mainz 05,64.08
Bayer 04 Leverkusen,64.02
Lazio,63.95
Borussia Mönchengladbach,63.92
SV Werder Bremen,63.87
Sevilla FC,63.66
Paris Saint-Germain,63.28
Athletic Club de Bilbao,63.07
Manchester United,62.77
Leicester City,62.7
Udinese,62.13
FC Girondins de Bordeaux,61.99
AS Saint-Étienne,61.96
Sassuolo,61.24
Atlético Madrid,61.15
Olympique de Marseille,60.3
Liverpool,60.11
FC Augsburg,59.95
FC Nantes,59.53
Everton,59.52
Southampton,58.93
Napoli,58.72
FC Schalke 04,58.71
VfL Wolfsburg,58.28
Milan,57.54
Roma,56.73
Inter,56.39
Genoa,56.13
Sampdoria,55.48
Watford,54.29
Angers SCO,54.12
West Ham United,53.91
FC Bayern München,53.5
Crystal Palace,44.96
