,club,score
0,Real Madrid,100
1,Manchester United,99.20828258
2,OGC Nice,93.44295575
3,FC Barcelona,88.42874543
4,Tottenham Hotspur,88.28664231
5,RC Celta,78.07551766
6,Liverpool,77.10109622
7,Juventus,74.78684531
8,SD Eibar,74.70564352
9,Arsenal,74.29963459
10,Villarreal CF,73.26431181
11,Leicester City,72.87860333
12,Paris Saint-Germain,72.59439708
13,Sevilla FC,72.1274868
14,Chelsea,72.04628502
15,Manchester City,71.94478279
16,Athletic Club de Bilbao,70.05684125
17,FC Bayern MÃ¼nchen,67.43808364
18,AtlÃ©tico Madrid,67.15387739
19,RCD Espanyol,67.11327649
20,Valencia CF,66.40276086
21,Everton,66.40276086
22,AS Monaco,65.73284612
23,Real Betis,64.21031263
24,AS Saint-Ã‰tienne,64.12911084
25,FC Nantes,61.14494519
26,Angers SCO,54.14129111
27,Borussia Dortmund,53.67438084
28,Stade Rennais FC,50.46691027
29,Real Sociedad,49.10678035
30,West Ham United,48.07145757
31,Bournemouth,47.56394641
32,Olympique Lyonnais,47.23913926
33,FC Girondins de Bordeaux,47.17823792
34,FC Augsburg,46.22411693
35,LOSC Lille,46.22411693
36,Milan,44.17377182
37,Lazio,42.71213967
38,TSG 1899 Hoffenheim,41.0272026
39,Montpellier HSC,40.13398295
40,VfL Wolfsburg,39.68737312
41,SV Werder Bremen,39.62647178
42,FC Schalke 04,37.17011774
43,1. FSV Mainz 05,36.96711328
44,Watford,36.56110434
45,Bayer 04 Leverkusen,36.15509541
46,Borussia MÃ¶nchengladbach,35.52578157
47,Southampton,35.11977263
48,Bologna,34.57166058
49,Crystal Palace,32.19650832
50,Torino,29.84165652
51,Napoli,26.3499797
52,Atalanta,26.16727568
53,Roma,26.045473
54,Udinese,24.80714576
55,Olympique de Marseille,23.62971985
56,Hertha BSC,20.50345108
57,Inter,20.40194884
58,Fiorentina,16.88997158
59,Sassuolo,12.26146975
60,Sampdoria,12.03816484
61,Genoa,0
